output_dim,hidden_dim,num_layer,dropout,num_param,win_over_legacy
10,15,5,0.0,21368,6
10,15,2,0.0,9128,6
6,9,5,0.0,11814,6
10,15,2,0.2,9128,6
10,15,3,0.0,13208,6
6,9,3,0.0,8754,6
6,9,2,0.2,7224,6
6,9,2,0.1,7224,6
6,9,2,0.0,7224,6
10,15,3,0.2,13208,6
3,5,5,0.0,7904,6
10,15,2,0.1,9128,6
15,23,2,0.0,12800,6
3,5,3,0.0,6884,6
3,5,2,0.2,6374,6
3,5,2,0.1,6374,6
15,23,2,0.1,12800,6
15,23,2,0.2,12800,6
15,23,3,0.0,22184,6
15,23,3,0.1,22184,6
15,23,5,0.0,40952,6
10,15,3,0.1,13208,5
15,23,3,0.2,22184,5
1,2,2,0.0,6017,5
6,9,3,0.2,8754,5
1,2,3,0.0,6119,5
6,9,3,0.1,8754,5
1,2,2,0.2,6017,5
3,5,2,0.0,6374,5
1,2,5,0.0,6323,5
1,2,2,0.1,6017,4
3,5,5,0.1,7904,3
3,5,3,0.2,6884,3
1,2,3,0.1,6119,3
15,23,5,0.1,40952,2
10,15,5,0.1,21368,2
6,9,5,0.1,11814,2
3,5,3,0.1,6884,2
1,2,3,0.2,6119,2
6,9,5,0.2,11814,1
3,5,5,0.2,7904,1
10,15,5,0.2,21368,1
